accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_car,involves_pedestrian,involves_motorcycle,longitude,latitude
218913,9,12,20,2,3,0,t,f,f,f,13.57170627,52.4378023
218912,6,12,17,7,3,2,f,t,f,f,13.35277452,52.43334401
218911,3,12,10,3,3,5,f,t,f,f,13.4642109,52.52355107
218910,5,12,8,4,2,5,f,t,f,f,13.22580616,52.55513503
218909,1,12,16,7,3,6,f,t,t,f,13.33321436,52.56091056
218907,8,12,14,5,3,5,t,t,f,f,13.43115172,52.48460068
218905,4,11,14,2,3,1,t,t,f,f,13.31783007,52.47389584
218903,1,12,6,3,3,5,f,t,f,f,13.39196012,52.50964191
218902,3,12,15,1,3,1,t,t,f,f,13.47604856,52.54911976
218900,1,12,17,6,3,5,f,t,f,f,13.39143965,52.55031033
218899,7,12,13,3,3,5,t,f,f,f,13.35763943,52.48668166
218896,5,12,18,6,3,6,f,t,t,f,13.19819687,52.53303395
218895,6,12,19,1,3,1,f,t,f,f,13.3024551,52.42512168
218894,7,12,19,1,3,6,f,t,t,f,13.35030304,52.41440182
218893,1,11,22,3,3,6,f,f,t,f,13.38417318,52.55479786
218892,9,12,10,2,3,5,t,t,f,f,13.50270483,52.47009671
218890,12,12,8,5,3,6,f,f,t,f,13.36053001,52.5968209
218888,10,12,5,5,3,3,f,t,f,f,13.52998839,52.53803281
218885,7,12,16,1,3,6,f,t,t,f,13.37259307,52.42180841
218884,6,12,20,3,3,1,f,t,f,f,13.30226885,52.45721334
218883,4,12,13,7,3,5,f,t,f,f,13.29671589,52.54806585
218882,1,12,8,5,3,1,t,t,f,f,13.38066213,52.53249437
218881,1,12,6,4,3,5,t,f,f,f,13.35158885,52.52702046
218879,8,12,17,5,3,2,f,t,f,f,13.47264494,52.46115329
218878,4,12,9,5,3,2,f,t,f,f,13.24680383,52.51381783
218876,1,12,16,6,3,6,f,t,t,f,13.35069439,52.53240497
218873,1,12,11,2,3,5,t,t,f,f,13.38149942,52.51509311
218872,10,12,16,4,3,6,f,t,t,f,13.59296027,52.51841804
218871,8,12,16,2,3,3,f,t,f,f,13.44063496,52.48152322
218870,2,12,23,4,2,1,f,t,f,f,13.45625893,52.52098829
218868,1,12,17,6,2,5,f,t,f,f,13.37698001,52.5573166
218866,4,11,10,2,3,5,f,t,f,f,13.27817856,52.51849006
218865,9,12,23,1,3,5,f,t,f,f,13.57666942,52.42225815
218864,3,12,8,4,3,0,t,t,f,f,13.4186537,52.56880549
218863,1,12,20,7,3,6,f,f,t,f,13.34082403,52.52630305
218861,1,12,15,2,3,5,t,t,f,f,13.33412993,52.55724691
218860,12,12,12,4,3,1,f,t,f,f,13.35080935,52.56843976
218859,1,12,15,7,3,0,t,f,f,f,13.4019915,52.52364536
218857,10,12,12,5,3,5,f,t,f,f,13.58328113,52.52373193
218855,3,11,9,2,3,5,f,t,f,f,13.41842277,52.53665953
218854,12,12,19,1,3,6,f,t,t,f,13.33627696,52.59554936
218853,2,12,16,4,3,5,t,t,f,f,13.38408398,52.49521875
218851,7,12,16,6,3,6,f,t,t,f,13.34570532,52.49424853
218850,10,12,18,3,2,6,f,t,t,f,13.57459431,52.55529761
218847,1,12,22,6,2,0,f,t,f,f,13.36387724,52.55681625
218846,4,12,9,6,3,5,f,t,f,f,13.32623697,52.53803842
218845,7,12,13,2,3,6,f,f,t,f,13.38059476,52.48341059
218844,4,11,11,3,3,5,f,t,f,f,13.26175953,52.51050792
218843,5,12,13,2,3,6,f,t,t,f,13.18291028,52.54793771
218841,6,12,13,4,3,5,t,f,f,f,13.31558307,52.44330574
218839,1,12,12,4,3,5,t,t,f,f,13.4037139,52.50823998
218836,5,12,8,2,3,2,f,t,f,t,13.19429344,52.53569237
218835,1,12,23,4,3,1,t,t,f,f,13.40061328,52.54107529
218834,6,12,15,7,3,6,f,t,t,f,13.32430681,52.46179723
218833,1,12,12,4,3,2,f,t,f,f,13.35159799,52.50521482
218831,2,12,14,5,3,3,t,t,f,f,13.47224289,52.50826935
218830,1,12,6,6,3,2,f,t,f,f,13.41646091,52.51098784
218828,6,11,12,2,3,1,f,t,f,f,13.35533803,52.45233594
218826,9,12,13,3,2,6,t,f,t,f,13.53464084,52.45243946
218825,1,12,15,5,3,6,f,t,t,f,13.35894465,52.54634556
218824,6,12,16,6,3,6,f,t,t,f,13.32237021,52.45625263
218822,8,12,16,6,3,0,f,t,f,f,13.45349107,52.42942265
218821,5,12,18,4,3,5,f,t,f,f,13.19454104,52.54569884
218820,3,12,15,1,3,2,f,t,f,f,13.40667483,52.55433414
218819,2,12,18,2,3,0,f,t,f,t,13.40830631,52.50433162
218817,6,12,16,3,3,1,t,t,f,f,13.32177882,52.43347564
218815,1,12,21,5,3,0,f,f,f,f,13.3535667,52.53675692
218813,5,12,10,5,3,5,t,t,f,f,13.12546826,52.45361618
218812,12,12,10,2,3,5,f,t,f,f,13.35399433,52.59234772
218811,1,12,7,2,3,6,f,t,t,f,13.38168604,52.55235831
218810,12,12,17,5,3,5,f,t,f,f,13.35108515,52.5674797
218809,5,12,18,3,3,2,f,t,f,f,13.13734726,52.52545703
218807,7,12,14,4,3,2,f,t,f,f,13.35580024,52.49692243
218805,5,12,17,7,3,2,f,t,f,f,13.1572011,52.53313198
218802,3,12,10,3,1,3,t,f,f,f,13.42507767,52.5281482
218801,10,12,13,4,2,6,f,t,t,f,13.57964629,52.5673496
218799,7,12,19,4,3,5,f,t,f,f,13.38215284,52.43602429
218797,12,12,11,6,3,5,f,t,f,f,13.28250015,52.59088742
218796,11,12,23,1,2,8,f,t,f,f,13.4861008,52.49664695
218795,5,12,22,6,2,6,f,t,t,f,13.16248451,52.52189405
218794,1,12,7,4,3,6,f,t,t,f,13.32825336,52.53292604
218793,7,12,15,3,2,0,f,t,f,f,13.32978622,52.46636423
218791,5,12,12,3,3,6,f,t,t,f,13.18784882,52.53430259
218789,4,12,23,7,3,5,f,t,f,f,13.31683989,52.50128991
218786,1,12,6,3,3,2,f,t,f,f,13.39598543,52.53826009
218785,2,12,23,3,3,0,f,f,f,t,13.40559029,52.48554722
218784,2,12,20,3,3,4,t,t,f,f,13.43259573,52.52381837
218783,12,12,14,2,3,2,f,t,f,f,13.32816514,52.56456166
218782,2,12,13,6,2,0,t,t,f,f,13.42127491,52.49308586
218780,8,12,21,5,3,3,t,f,f,f,13.43637251,52.48345923
218779,11,12,18,5,3,3,f,t,f,f,13.47670696,52.53315575
218777,1,11,17,2,3,1,f,t,f,f,13.33677877,52.5554894
218775,4,12,7,4,3,2,f,t,f,f,13.29410394,52.53420445
218774,1,12,8,5,3,6,f,t,t,f,13.42122764,52.50986843
218772,5,12,2,7,3,5,f,t,f,f,13.18476197,52.54751179
218771,11,11,5,3,3,6,f,t,t,f,13.50342264,52.50971262
218770,1,12,18,7,2,2,f,t,f,f,13.38265749,52.55615955
218769,6,12,14,2,3,5,f,t,f,f,13.31491702,52.43048991
218767,3,12,17,4,2,5,f,t,f,f,13.44954936,52.5371906
218765,9,12,9,4,3,3,f,t,f,f,13.58170469,52.44103731
218763,11,12,17,5,3,5,f,t,f,t,13.48734506,52.50136598
218762,1,12,7,2,3,2,f,t,f,f,13.35870252,52.55373507
218761,5,12,3,7,2,5,f,t,f,f,13.20648957,52.54328567
218760,2,12,20,4,3,5,t,t,f,f,13.4603846,52.50889675
218759,3,12,5,3,3,5,f,t,f,f,13.38023233,52.5749532
218757,10,12,17,5,2,9,f,f,f,t,13.51918423,52.53157929
218755,2,12,14,6,3,5,f,t,f,f,13.44044866,52.4966704
218752,9,12,17,2,3,1,t,t,f,f,13.57783394,52.45680071
218751,3,12,17,3,3,5,t,t,f,f,13.44225232,52.54679393
