accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_pedestrian,longitude,latitude
218442,6,12,6,2,3,4,t,f,13.33869228,52.46624791
218441,6,12,21,3,2,6,f,t,13.32505788,52.42805957
218430,4,12,11,5,3,5,t,f,13.27344992,52.49996881
218427,6,12,9,6,3,6,f,t,13.26481146,52.41926765
218424,7,12,18,7,3,6,f,t,13.37060939,52.47042042
218422,1,12,14,1,3,0,t,f,13.38358985,52.53013849
218420,2,12,16,7,2,5,t,f,13.39642275,52.49132395
218412,8,11,16,3,3,2,t,f,13.43998737,52.47769015
218411,3,12,11,3,3,0,t,f,13.41711296,52.53287417
218406,8,12,18,2,3,6,f,t,13.44800532,52.47788289
218401,1,12,7,6,3,0,t,f,13.38528932,52.52014868
218400,1,12,20,2,2,6,f,t,13.35906251,52.54655273
218399,8,12,10,4,3,5,t,f,13.4324246,52.47014968
218398,7,12,16,2,2,5,t,f,13.34628313,52.49607774
218395,1,12,17,6,3,5,t,f,13.38745344,52.53350142
218393,2,12,18,4,3,5,t,f,13.47259981,52.50866037
218390,7,12,19,1,3,6,f,t,13.340801,52.49931519
218388,12,12,9,4,3,5,t,f,13.28592983,52.59513228
218383,1,12,15,7,3,6,t,t,13.41305236,52.50858393
218381,4,12,17,3,3,5,t,f,13.30073375,52.50321002
218378,6,12,18,6,3,6,t,t,13.26110303,52.43632537
218374,1,12,16,1,3,5,t,f,13.34331093,52.52641805
218370,4,12,16,3,3,6,f,t,13.32693229,52.49878934
218366,12,12,14,5,3,6,f,t,13.34128582,52.60001443
218363,6,12,21,4,2,6,f,t,13.30957101,52.43124315
218362,6,12,16,3,3,5,t,f,13.32637385,52.42772768
218360,4,12,17,4,3,6,f,t,13.29612754,52.50865342
218355,4,12,15,3,3,0,t,f,13.33306479,52.49288181
218354,7,12,18,4,2,0,t,f,13.39721504,52.48387914
218350,2,12,14,5,2,6,f,t,13.40784989,52.50427249
218349,12,12,14,5,3,5,t,f,13.33485298,52.58706692
218347,4,11,19,2,3,6,f,t,13.28118044,52.4768698
218343,7,12,8,6,3,4,t,f,13.35453629,52.49718296
218340,4,12,17,2,2,6,f,t,13.28850749,52.51891763
218339,9,12,15,3,3,5,t,f,13.57552638,52.44550501
218338,4,12,17,3,3,3,t,f,13.31953099,52.49969897
218333,6,11,19,2,3,0,t,f,13.28896465,52.44375054
218329,5,12,15,2,3,6,f,t,13.1652329,52.52148094
218326,1,11,13,3,3,6,f,t,13.35626805,52.54898951
218324,2,12,17,2,3,6,f,t,13.42318123,52.48674198
218319,7,12,8,5,3,0,t,f,13.41670876,52.45518697
218309,1,12,16,6,3,6,f,t,13.39159082,52.55173775
218306,3,12,17,2,2,6,f,t,13.437668,52.57087055
218304,10,12,16,3,3,6,f,t,13.59272914,52.54844754
218299,3,11,17,3,2,5,t,f,13.39022253,52.58517742
218297,8,12,21,3,3,1,t,f,13.42970068,52.48636552
218289,3,12,10,4,2,0,t,f,13.3972856,52.57972658
218286,10,12,9,4,3,5,t,f,13.58740363,52.52262449
218277,11,12,6,3,3,5,t,f,13.51317761,52.50524061
